MSD;Features;Lexical entries;Examples of usage
Nc---n;Noun Type=common Definiteness=no;38;zgârie-nori, zgârie-brânză, vântură-ţară, vântură-lume, una_cu_pământul
Nc-s-ny;Noun Type=common Number=singular Definiteness=no Clitic=yes;4;fii-/fiu, fii-/fiică, bunică-/bunic, bunică-/bunică
Ncm--n;Noun Type=common Gender=masculine Definiteness=no;43;zgripţoroi, tremurici, trăgaci, tei, tălmaci, răţoi, poliţai
Ncms-n;Noun Type=common Gender=masculine Number=singular Definiteness=no;8183;zvon, zvonit, zvârlit, zvârcolit, zvântat, zvâcnit, zvâcnet, zuruit
Ncms-ny;Noun Type=common Gender=masculine Number=singular Definiteness=no Clitic=yes;45;tim'/timp, sem'/semn, -nvins/învins, -nvingător/învingător, -nveliş/înveliş
Ncmsvn;Noun Type=common Gender=masculine Number=singular Case=vocative Definiteness=no;11;urcior/ulcior, tovarăşe/tovarăş, sindicalist, prietene/prieten
Ncmsvny;Noun Type=common Gender=masculine Number=singular Case=vocative Definiteness=no Clitic=yes;1;-mpărate/împărat
Ncmsvy;Noun Type=common Gender=masculine Number=singular Case=vocative Definiteness=yes;2124;zvonule/zvon, zvonitule/zvonit, zvârcolitule/zvârcolit, zvâcnitule/zvâcnit
Ncmsry;Noun Type=common Gender=masculine Number=singular Case=direct Definiteness=yes;7943;zvonul/zvon, zvonitul/zvonit, zvârlitul/zvârlit, zvârcolitul/zvârcolit
Ncmsryy;Noun Type=common Gender=masculine Number=singular Case=direct Definiteness=yes Clitic=yes;77;visu'/vis, următoru'/următorul, trotuaru'/trotuar, tipu'/tip
Ncmsoy;Noun Type=common Gender=masculine Number=singular Case=oblique Definiteness=yes;7852;zvonului/zvon, zvonitului/zvonit, zvârlitului/zvârlit, zvârcolitului/zvârcolit
Ncmsoyy;Noun Type=common Gender=masculine Number=singular Case=oblique Definiteness=yes Clitic=yes;40;-nvinsului/învins, -nvingătorului/învingător, -nvelişului/înveliş
Ncmp-n;Noun Type=common Gender=masculine Number=plural Definiteness=no;3440;zulufi/zuluf, zugravi/zugrav, zori, zootehnicieni/zootehnician
Ncmp-ny;Noun Type=common Gender=masculine Number=plural Definiteness=no Clitic=yes;20;-nvinşi/învins, -nvingători/învingător, -nvăţători/învăţător
Ncmpvy;Noun Type=common Gender=masculine Number=plural Case=vocative Definiteness=yes;8;nenorociţilor/nenorocit, nefericiţilor/nefericit, mânuitorilor/mânuitor
Ncmpry;Noun Type=common Gender=masculine Number=plural Case=direct Definiteness=yes;3401;zulufii/zuluf, zugravii/zugrav, zorii/zori, zootehnicienii/zootehnician
Ncmpryy;Noun Type=common Gender=masculine Number=plural Case=direct Definiteness=yes Clitic=yes;20;-nvinşii/învins, -nvingătorii/învingător, -nvăţătorii/învăţător
Ncmpoy;Noun Type=common Gender=masculine Number=plural Case=oblique Definiteness=yes;3404;zulufilor/zuluf, zugravilor/zugrav, zootehnicienilor/zootehnician
Ncmpoyy;Noun Type=common Gender=masculine Number=plural Case=oblique Definiteness=yes Clitic=yes;20;-nvinşilor/învins, -nvingătorilor/învingător, -nvăţătorilor/învăţător
Ncf--n;Noun Type=common Gender=feminine Definiteness=no;320;ziditoare, zeie, zeflemitoare, zdrobitoare, zburătoare, zămislitoare
Ncf--ny;Noun Type=common Gender=feminine Definiteness=no Clitic=yes;3;-nvăţătoare/învăţătoare, -nsoţitoare/însoţitoare, -ngrijitoare/îngrijitoare
Ncfs-n;Noun Type=common Gender=feminine Number=singular Definiteness=no;3;soia, sete, foame
Ncfsvy;Noun Type=common Gender=feminine Number=singular Case=vocative Definiteness=yes;3376;zvonireo/zvonire, zvârcolireo/zvârcolire, zvâcnireo/zvâcnire
Ncfsrn;Noun Type=common Gender=feminine Number=singular Case=direct Definiteness=no;9843;zvonistică, zvonire, zvârlitură, zvârlire, zvârcolire, zvârcoleală
Ncfsrny;Noun Type=common Gender=feminine Number=singular Case=direct Definiteness=no Clitic=yes;162;-nvrăjbire/învrăjbire, -nvoire/învoire, -nvoială/învoială, -nviere/înviere
Ncfsry;Noun Type=common Gender=feminine Number=singular Case=direct Definiteness=yes;10112;zvonistica/zvonistică, zvonirea/zvonire, zvârlitura/zvârlitură
Ncfsryy;Noun Type=common Gender=feminine Number=singular Case=direct Definiteness=yes Clitic=yes;164;-nvrăjbirea/învrăjbire, -nvoirea/învoire, -nvoiala/învoială, -nvierea/înviere
Ncfson;Noun Type=common Gender=feminine Number=singular Case=oblique Definiteness=no;9567;zvonistici/zvonistică, zvoniri/zvonire, zvârlituri/zvârlitură
Ncfsony;Noun Type=common Gender=feminine Number=singular Case=oblique Definiteness=no Clitic=yes;160;-nvrăjbiri/învrăjbire, -nvoiri/învoire, -nvoieli/învoială, -nvieri/înviere
Ncfsoy;Noun Type=common Gender=feminine Number=singular Case=oblique Definiteness=yes;9931;zvonisticii/zvonistică, zvonirii/zvonire, zvârliturii/zvârlitură
Ncfsoyy;Noun Type=common Gender=feminine Number=singular Case=oblique Definiteness=yes Clitic=yes;163;-nvrăjbirii/învrăjbire, -nvoirii/învoire, -nvoielii/învoială
Ncfp-n;Noun Type=common Gender=feminine Number=plural Definiteness=no;13042;zvonuri/zvon, zvoniri/zvonire, zvârlituri/zvârlitură, zvârliri/zvârlire
Ncfp-ny;Noun Type=common Gender=feminine Number=plural Definiteness=no Clitic=yes;171;-nvrăjbiri/învrăjbire, -nvoiri/învoire, -nvoieli/învoială, -nvieri/înviere
Ncfpvy;Noun Type=common Gender=feminine Number=plural Case=vocative Definiteness=yes;3;ratatelor/ratată, nefericitelor/nefericit, liderelor/lideră
Ncfpry;Noun Type=common Gender=feminine Number=plural Case=direct Definiteness=yes;13291;zvonurile/zvon, zvonirile/zvonire, zvârliturile/zvârlitură, zvârlirile/zvârlire
Ncfpryy;Noun Type=common Gender=feminine Number=plural Case=direct Definiteness=yes Clitic=yes;173;-nvrăjbirile/învrăjbire, -nvoirile/învoire, -nvoielile/învoială
Ncfpoy;Noun Type=common Gender=feminine Number=plural Case=oblique Definiteness=yes;12898;zvonurilor/zvon, zvonirilor/zvonire, zvârliturilor/zvârlitură
Ncfpoyy;Noun Type=common Gender=feminine Number=plural Case=oblique Definiteness=yes Clitic=yes;173;-nvrăjbirilor/învrăjbire, -nvoirilor/învoire, -nvoielilor/învoială
Np;Noun Type=proper;1945;Zurich, Zurbaran, Zsigmond, Zorro, Zoocom, Zoltan, Zoe, Zmaranda
Npmsvn;Noun Type=proper Gender=masculine Number=singular Case=vocative Definiteness=no;7;Ştefane/Ştefan, Ioane/Ion, Ioane/Ioan, Iisuse/Iisus, Eugene/Eugen
Npmsvy;Noun Type=proper Gender=masculine Number=singular Case=vocative Definiteness=yes;2;Nicule, Nelule/Nelu
Npmsry;Noun Type=proper Gender=masculine Number=singular Case=direct Definiteness=yes;120;Zărneştiul/Zărneşti, Washingtonul/Washington, Topoloveniul/Topoloveni
Npmsoy;Noun Type=proper Gender=masculine Number=singular Case=oblique Definiteness=yes;122;Zărneştiului/Zărneşti, Washingtonului/Washington, Topoloveniului/Topoloveni
Npmp-n;Noun Type=proper Gender=masculine Number=plural Definiteness=no;2;Atrizi/Atrid, Asclepiazi/Asclepiad
Npmpry;Noun Type=proper Gender=masculine Number=plural Case=direct Definiteness=yes;10;Pârteştii/Pârteşti, Iaşii/Iaşi, Filipeştii/Filipeşti, Cotrocenii/Cotroceni
Npmpoy;Noun Type=proper Gender=masculine Number=plural Case=oblique Definiteness=yes;8;Pelopizilor/Pelopid, Iaşilor/Iaşi, Cotrocenilor/Cotroceni, Carpaţilor/Carpaţi
Npfsvy;Noun Type=proper Gender=feminine Number=singular Case=vocative Definiteness=yes;1;Mărio/Măria
Npfsrn;Noun Type=proper Gender=feminine Number=singular Case=direct Definiteness=no;80;Veneţie/Veneţia, Varşovie/Varşovia, Ungarie/Ungaria, Turcie/Turcia
Npfsry;Noun Type=proper Gender=feminine Number=singular Case=direct Definiteness=yes;6;Stelei/Stela, Nouvorba/Nouvorbă, Hydrei/Hydra, Hydra, Dunărea/Dunăre
Npfson;Noun Type=proper Gender=feminine Number=singular Case=oblique Definiteness=no;77;Turcii/Turcia, Tunisii/Tunisia, Tulcii/Tulcea, Transnistrii/Transnistria
Npfsoy;Noun Type=proper Gender=feminine Number=singular Case=oblique Definiteness=yes;234;Vienei/Viena, Victoriei/Victoria, Veneţiei/Veneţia, Vasilicăi/Vasilica
Npfp-n;Noun Type=proper Gender=feminine Number=plural Definiteness=no;4;Românii/România, Mării/Măria, Madone/Madona, Dionisii/Dionisie
Npfpry;Noun Type=proper Gender=feminine Number=plural Case=direct Definiteness=yes;5;Paştile/Paşte, Moirele/Moiră, Măriile/Măria, Madonele/Madona
Npfpoy;Noun Type=proper Gender=feminine Number=plural Case=oblique Definiteness=yes;8;Statelor_Unite/Statele_Unite, Statelor_Unite_ale_Americii/Statele_Unite_ale_Americii
Vmip1s;Verb Type=main VForm=indicative Tense=present Person=first Number=singular;4265;zvonesc/zvoni, zvârl/zvârli, zvârcolesc/zvârcoli, zvânt/zvânta
Vmip1s----y;Verb Type=main VForm=indicative Tense=present Person=first Number=singular Clitic=yes;474;sim'/simţi, -s/fi, rogu/ruga, po'/putea, -nzorzonez/înzorzona
Vmip1p;Verb Type=main VForm=indicative Tense=present Person=first Number=plural;4244;zvonim/zvoni, zvârlim/zvârli, zvârcolim/zvârcoli, zvântăm/zvânta
Vmip1p----y;Verb Type=main VForm=indicative Tense=present Person=first Number=plural Clitic=yes;463;-nzorzonăm/înzorzona, -nzidim/înzidi, -nzestrăm/înzestra, -nzecim/înzeci
Vmip2s;Verb Type=main VForm=indicative Tense=present Person=second Number=singular;4270;zvoneşti/zvoni, zvârli, zvârcoleşti/zvârcoli, zvânţi/zvânta, zvâcneşti/zvâcni
Vmip2s----y;Verb Type=main VForm=indicative Tense=present Person=second Number=singular Clitic=yes;470;po'/putea, -nzorzonezi/înzorzona, -nzideşti/înzidi, -nzestrezi/înzestra
Vmip2p;Verb Type=main VForm=indicative Tense=present Person=second Number=plural;4250;zvoniţi/zvoni, zvârliţi/zvârli, zvârcoliţi/zvârcoli, zvântaţi/zvânta
Vmip2p----y;Verb Type=main VForm=indicative Tense=present Person=second Number=plural Clitic=yes;463;-nzorzonaţi/înzorzona, -nzidiţi/înzidi, -nzestraţi/înzestra, -nzeciţi/înzeci
Vmip3;Verb Type=main VForm=indicative Tense=present Person=third;2681;zvârlă/zvârli, zvântă/zvânta, zumzăie/zumzăi, zornăiză/zornăi
Vmip3-----y;Verb Type=main VForm=indicative Tense=present Person=third Clitic=yes;266;sfâşi-/sfâşia, -nzorzonează/înzorzona, -nzestrează/înzestra, -nvolburează/învolbura
Vmip3s;Verb Type=main VForm=indicative Tense=present Person=third Number=singular;1646;zvoneşte/zvoni, zvârle/zvârli, zvârcoleşte/zvârcoli, zvâcneşte/zvâcni
Vmip3s----y;Verb Type=main VForm=indicative Tense=present Person=third Number=singular Clitic=yes;216;tre'/trebui, -nzideşte/înzidi, -nzeceşte/înzeci, -nzdrăveneşte/înzdrăveni
Vmip3p;Verb Type=main VForm=indicative Tense=present Person=third Number=plural;1616;zvonesc/zvoni, zvârl/zvârli, zvârcolesc/zvârcoli, zvâcnesc/zvâcni
Vmip3p----y;Verb Type=main VForm=indicative Tense=present Person=third Number=plural Clitic=yes;197;zi'/zice, -s/fi, -nzidesc/înzidi, -nzecesc/înzeci, -nzdrăvenesc/înzdrăveni
Vmii1;Verb Type=main VForm=indicative Tense=imperfect Person=first;4247;zvoneam/zvoni, zvârleam/zvârli, zvârcoleam/zvârcoli, zvântam/zvânta
Vmii1-----y;Verb Type=main VForm=indicative Tense=imperfect Person=first Clitic=yes;463;-nzorzonam/înzorzona, -nzideam/înzidi, -nzestram/înzestra, -nzeceam/înzeci
Vmii1s;Verb Type=main VForm=indicative Tense=imperfect Person=first Number=singular;1;torceam/toarce
Vmii1p;Verb Type=main VForm=indicative Tense=imperfect Person=first Number=plural;1;torceam/toarce
Vmii2s;Verb Type=main VForm=indicative Tense=imperfect Person=second Number=singular;4244;zvoneai/zvoni, zvârleai/zvârli, zvârcoleai/zvârcoli, zvântai/zvânta
Vmii2s----y;Verb Type=main VForm=indicative Tense=imperfect Person=second Number=singular Clitic=yes;463;-nzorzonai/înzorzona, -nzideai/înzidi, -nzestrai/înzestra, -nzeceai/înzeci
Vmii2p;Verb Type=main VForm=indicative Tense=imperfect Person=second Number=plural;4244;zvoneaţi/zvoni, zvârleaţi/zvârli, zvârcoleaţi/zvârcoli, zvântaţi/zvânta
Vmii2p----y;Verb Type=main VForm=indicative Tense=imperfect Person=second Number=plural Clitic=yes;463;-nzorzonaţi/înzorzona, -nzideaţi/înzidi, -nzestraţi/înzestra
Vmii3s;Verb Type=main VForm=indicative Tense=imperfect Person=third Number=singular;4281;zvonea/zvoni, zvârlea/zvârli, zvârcolea/zvârcoli, zvânta, zvâcnea/zvâcni
Vmii3s----y;Verb Type=main VForm=indicative Tense=imperfect Person=third Number=singular Clitic=yes;473;-nzorzona/înzorzona, -nzidea/înzidi, -nzestra/înzestra, -nzecea/înzeci
Vmii3p;Verb Type=main VForm=indicative Tense=imperfect Person=third Number=plural;4266;zvoneau/zvoni, zvârleau/zvârli, zvârcoleau/zvârcoli, zvântau/zvânta
Vmii3p----y;Verb Type=main VForm=indicative Tense=imperfect Person=third Number=plural Clitic=yes;463;-nzorzonau/înzorzona, -nzideau/înzidi, -nzestrau/înzestra, -nzeceau/înzeci
Vmis1s;Verb Type=main VForm=indicative Tense=past Person=first Number=singular;4235;zvonii/zvoni, zvârlii/zvârli, zvârcolii/zvârcoli, zvântai/zvânta
Vmis1s----y;Verb Type=main VForm=indicative Tense=past Person=first Number=singular Clitic=yes;462;-nzorzonai/înzorzona, -nzidii/înzidi, -nzestrai/înzestra, -nzecii/înzeci
Vmis1p;Verb Type=main VForm=indicative Tense=past Person=first Number=plural;4393;zvonirăm/zvoni, zvârliserăm/zvârli, zvârlirăm/zvârli, zvârcolirăm/zvârcoli
Vmis1p----y;Verb Type=main VForm=indicative Tense=past Person=first Number=plural Clitic=yes;462;-nzorzonarăm/înzorzona, -nzidirăm/înzidi, -nzestrarăm/înzestra
Vmis2s;Verb Type=main VForm=indicative Tense=past Person=second Number=singular;4240;zvonişi/zvoni, zvârlişi/zvârli, zvârcolişi/zvârcoli, zvântaşi/zvânta
Vmis2s----y;Verb Type=main VForm=indicative Tense=past Person=second Number=singular Clitic=yes;462;-nzorzonaşi/înzorzona, -nzidişi/înzidi, -nzestraşi/înzestra, -nzecişi/înzeci
Vmis2p;Verb Type=main VForm=indicative Tense=past Person=second Number=plural;4393;zvonirăţi/zvoni, zvârliserăţi/zvârli, zvârlirăţi/zvârli, zvârcolirăţi/zvârcoli
Vmis2p----y;Verb Type=main VForm=indicative Tense=past Person=second Number=plural Clitic=yes;462;-nzorzonarăţi/înzorzona, -nzidirăţi/înzidi, -nzestrarăţi/înzestra
Vmis3s;Verb Type=main VForm=indicative Tense=past Person=third Number=singular;4267;zvoni, zvârli, zvârcoli, zvântă/zvânta, zvâcni, zurui, zumzăi
Vmis3s----y;Verb Type=main VForm=indicative Tense=past Person=third Number=singular Clitic=yes;470;-nzorzonă/înzorzona, -nzidi/înzidi, -nzestră/înzestra, -nzeci/înzeci
Vmis3p;Verb Type=main VForm=indicative Tense=past Person=third Number=plural;4412;zvoniră/zvoni, zvârliseră/zvârli, zvârliră/zvârli, zvârcoliră/zvârcoli
Vmis3p----y;Verb Type=main VForm=indicative Tense=past Person=third Number=plural Clitic=yes;462;-nzorzonară/înzorzona, -nzidiră/înzidi, -nzestrară/înzestra, -nzeciră/înzeci
Vmil1s;Verb Type=main VForm=indicative Tense=pluperfect Person=first Number=singular;3800;zvonisem/zvoni, zvârcolisem/zvârcoli, zvâcnisem/zvâcni, zuruisem/zurui
Vmil1s----y;Verb Type=main VForm=indicative Tense=pluperfect Person=first Number=singular Clitic=yes;462;-nzorzonasem/înzorzona, -nzidisem/înzidi, -nzestrasem/înzestra
Vmil1p;Verb Type=main VForm=indicative Tense=pluperfect Person=first Number=plural;4533;zvoniserăm/zvoni, zvârlisem/zvârli, zvârcoliserăm/zvârcoli, zvântasem/zvânta
Vmil1p----y;Verb Type=main VForm=indicative Tense=pluperfect Person=first Number=plural Clitic=yes;462;-nzorzonaserăm/înzorzona, -nzidiserăm/înzidi, -nzestraserăm/înzestra
Vmil2s;Verb Type=main VForm=indicative Tense=pluperfect Person=second Number=singular;4240;zvoniseşi/zvoni, zvârliseşi/zvârli, zvârcoliseşi/zvârcoli, zvântaseşi/zvânta
Vmil2s----y;Verb Type=main VForm=indicative Tense=pluperfect Person=second Number=singular Clitic=yes;462;-nzorzonaseşi/înzorzona, -nzidiseşi/înzidi, -nzestraseşi/înzestra
Vmil2p;Verb Type=main VForm=indicative Tense=pluperfect Person=second Number=plural;4085;zvoniserăţi/zvoni, zvârcoliserăţi/zvârcoli, zvâcniserăţi/zvâcni
Vmil2p----y;Verb Type=main VForm=indicative Tense=pluperfect Person=second Number=plural Clitic=yes;462;-nzorzonaserăţi/înzorzona, -nzidiserăţi/înzidi, -nzestraserăţi/înzestra
Vmil3s;Verb Type=main VForm=indicative Tense=pluperfect Person=third Number=singular;4269;zvonise/zvoni, zvârlise/zvârli, zvârcolise/zvârcoli, zvântase/zvânta
Vmil3s----y;Verb Type=main VForm=indicative Tense=pluperfect Person=third Number=singular Clitic=yes;470;-nzorzonase/înzorzona, -nzidise/înzidi, -nzestrase/înzestra, -nzecise/înzeci
Vmil3p;Verb Type=main VForm=indicative Tense=pluperfect Person=third Number=plural;4105;zvoniseră/zvoni, zvârcoliseră/zvârcoli, zvâcniseră/zvâcni, zuruiseră/zurui
Vmil3p----y;Verb Type=main VForm=indicative Tense=pluperfect Person=third Number=plural Clitic=yes;462;-nzorzonaseră/înzorzona, -nzidiseră/înzidi, -nzestraseră/înzestra
Vmsp1s;Verb Type=main VForm=subjunctive Tense=present Person=first Number=singular;1;fiu/fi
Vmsp1p;Verb Type=main VForm=subjunctive Tense=present Person=first Number=plural;1;fim/fi
Vmsp2s;Verb Type=main VForm=subjunctive Tense=present Person=second Number=singular;1;fii/fi
Vmsp2p;Verb Type=main VForm=subjunctive Tense=present Person=second Number=plural;1;fiţi/fi
Vmsp3;Verb Type=main VForm=subjunctive Tense=present Person=third;4294;zvonească/zvoni, zvârle/zvârli, zvârcolească/zvârcoli, zvânte/zvânta
Vmsp3-----y;Verb Type=main VForm=subjunctive Tense=present Person=third Clitic=yes;468;-nzorzoneze/înzorzona, -nzidească/înzidi, -nzestreze/înzestra
Vmsp3s;Verb Type=main VForm=subjunctive Tense=present Person=third Number=singular;10;plouă/ploua, pese/păsa, ningă/ninge, înviforeze/învifora, întomneze/întomna
Vmsp3s----y;Verb Type=main VForm=subjunctive Tense=present Person=third Number=singular Clitic=yes;7;-nviforeze/învifora, -ntomneze/întomna, -nroureze/înroura, -nnoreze/înnora
Vmm-2s;Verb Type=main VForm=imperative Person=second Number=singular;8309;zvoni, zvoneşte/zvoni, zvârli, zvârle/zvârli, zvârcoli, zvârcoleşte/zvârcoli
Vmm-2s----y;Verb Type=main VForm=imperative Person=second Number=singular Clitic=yes;915;ţin/ţine, ofer/oferi, -nzorzonează/înzorzona, -nzorzona/înzorzona
Vmm-2p;Verb Type=main VForm=imperative Person=second Number=plural;4246;zvoniţi/zvoni, zvârliţi/zvârli, zvârcoliţi/zvârcoli, zvântaţi/zvânta
Vmm-2p----y;Verb Type=main VForm=imperative Person=second Number=plural Clitic=yes;463;-nzorzonaţi/înzorzona, -nzidiţi/înzidi, -nzestraţi/înzestra, -nzeciţi/înzeci
Vmnp;Verb Type=main VForm=infinitive Tense=present;4301;zvoni, zvârli, zvârcoli, zvânta, zvâcni, zurui, zumzăi, zugrăvi
Vmnp------y;Verb Type=main VForm=infinitive Tense=present Clitic=yes;475;-nzorzona/înzorzona, -nzidi/înzidi, -nzestra/înzestra, -nzeci/înzeci
Vmp--sm;Verb Type=main VForm=participle Number=singular Gender=masculine;4300;zvonit/zvoni, zvârlit/zvârli, zvârcolit/zvârcoli, zvântat/zvânta
Vmp--sm---y;Verb Type=main VForm=participle Number=singular Gender=masculine Clitic=yes;3398;zvonitu/zvoni, zvârlitu/zvârli, zvârcolitu/zvârcoli, zvântatu/zvânta
Vmg;Verb Type=main VForm=gerund;12354;zvonind/zvoni, zvârlind/zvârli, zvârcolind/zvârcoli, zvântând/zvânta
Vmg-------y;Verb Type=main VForm=gerund Clitic=yes;12806;zvonindu/zvoni, zvârlindu/zvârli, zvârcolindu/zvârcoli, zvântându/zvânta
Va--1;Verb Type=auxiliary Person=first;1;am/avea
Va--1-----y;Verb Type=auxiliary Person=first Clitic=yes;1;-am/avea
Va--1s;Verb Type=auxiliary Person=first Number=singular;3;voi/vrea, oi/vrea, aş/avea
Va--1s----y;Verb Type=auxiliary Person=first Number=singular Clitic=yes;1;-aş/avea
Va--1p;Verb Type=auxiliary Person=first Number=plural;2;vom/vrea, -vom/vrea
Va--2s;Verb Type=auxiliary Person=second Number=singular;5;vei/vrea, oi/vrea, îi/vrea, ăi/vrea, ai/avea
Va--2s----y;Verb Type=auxiliary Person=second Number=singular Clitic=yes;1;-ai/avea
Va--2p;Verb Type=auxiliary Person=second Number=plural;6;veţi/vrea, -veţi/vrea, îţi/vrea, eţi/vrea, ăţi/vrea, aţi/avea
Va--2p----y;Verb Type=auxiliary Person=second Number=plural Clitic=yes;1;-aţi/avea
Va--3;Verb Type=auxiliary Person=third;1;ar/avea
Va--3-----y;Verb Type=auxiliary Person=third Clitic=yes;1;-ar/avea
Va--3s;Verb Type=auxiliary Person=third Number=singular;5;va/vrea, -va/vrea, o/vrea, a-/avea, a/avea
Va--3s----y;Verb Type=auxiliary Person=third Number=singular Clitic=yes;1;-a/avea
Va--3p;Verb Type=auxiliary Person=third Number=plural;4;vor/vrea, -vor/vrea, or/vrea, au/avea
Va--3p----y;Verb Type=auxiliary Person=third Number=plural Clitic=yes;1;-au/avea
Vanp;Verb Type=auxiliary VForm=infinitive Tense=present;1;fi
Afp;Adjective Type=qualificative Degree=positive;93;vivace, video, un_pic_de, un_fel_de, turcoaz, sui-generis, standard
Afp-p-n;Adjective Type=qualificative Degree=positive Number=plural Definiteness=no;313;zglobii/zglobiu, zeieşti/zeiesc, zbanghii/zbanghiu, vultureşti/vulturesc
Afp-p-ny;Adjective Type=qualificative Degree=positive Number=plural Definiteness=no Clitic=yes;1;-ntregi/întreg
Afp-poy;Adjective Type=qualificative Degree=positive Number=plural Case=oblique Definiteness=yes;15;verzuilor/verzui, tinereştilor/tineresc, timpuriilor/timpuriu
